transaction_id,source_row_index,step,type,amount,oldbalanceOrg,oldbalanceDest,node_profile,cpu_limit,memory_mb,repetition,status,service_time_ms,schema_validation_ms,security_authorization_ms,begin_db_transaction_ms,idempotency_check_ms,account_lookup_ms,type_specific_validation_ms,state_update_ms,ledger_update_ms,audit_log_ms,completion_record_ms,commit_ms,rollback_ms,error_type,error_message
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,High,1.0,4096,1,SUCCESS,90.754741,0.002502,90.553986,0.002594,0.009739,0.021765,0.002308,0.043878,0.019317,0.048087,0.018364,0.004357,,,
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,High,1.0,4096,2,SUCCESS,87.193291,0.002299,86.929014,0.004039,0.022905,0.030418,0.002498,0.067262,0.020703,0.051523,0.019376,0.004686,,,
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,High,1.0,4096,3,SUCCESS,89.626278,0.002694,89.414149,0.00247,0.010113,0.02055,0.002006,0.055318,0.022988,0.044845,0.018527,0.00437,,,
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,High,1.0,4096,4,SUCCESS,89.378896,0.002364,89.140483,0.002571,0.010848,0.048289,0.002367,0.049447,0.020466,0.048201,0.019752,0.004209,,,
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,High,1.0,4096,5,SUCCESS,90.655992,0.002549,90.456403,0.002666,0.009783,0.021002,0.00234,0.041959,0.020957,0.04869,0.018449,0.004148,,,
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,High,1.0,4096,6,SUCCESS,89.451649,0.002542,89.098775,0.004538,0.016767,0.036125,0.003463,0.056433,0.027775,0.1164,0.038234,0.007093,,,
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,High,1.0,4096,7,SUCCESS,91.265352,0.003391,91.066564,0.002891,0.01048,0.021402,0.001971,0.041914,0.018695,0.04745,0.018078,0.004621,,,
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,High,1.0,4096,8,SUCCESS,90.516621,0.002301,90.164109,0.005653,0.028053,0.042386,0.003987,0.081336,0.035657,0.077396,0.022439,0.005599,,,
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,High,1.0,4096,9,SUCCESS,89.818413,0.00396,89.595967,0.002663,0.010562,0.019904,0.002068,0.042075,0.018963,0.068651,0.019122,0.004725,,,
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,High,1.0,4096,10,SUCCESS,90.05593,0.00227,89.861263,0.002942,0.010397,0.022276,0.001992,0.042114,0.01867,0.04511,0.017499,0.004422,,,
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,Low,0.25,1024,1,SUCCESS,491.811587,0.00186,491.355509,0.006827,0.022727,0.044768,0.004548,0.136337,0.048451,0.086566,0.040934,0.011034,,,
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,Low,0.25,1024,2,SUCCESS,496.74818,0.005148,496.246977,0.006751,0.026082,0.048438,0.003853,0.164179,0.046976,0.088214,0.040907,0.011933,,,
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,Low,0.25,1024,3,SUCCESS,323.458681,0.004946,323.256577,0.002491,0.009987,0.02103,0.00189,0.043097,0.019026,0.044462,0.018596,0.004755,,,
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,Low,0.25,1024,4,SUCCESS,479.547831,0.002262,479.335056,0.002918,0.009534,0.045286,0.002506,0.040324,0.018038,0.042051,0.017641,0.004692,,,
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,Low,0.25,1024,5,SUCCESS,410.549277,0.002343,410.346583,0.002583,0.009985,0.022894,0.002514,0.042549,0.020154,0.049823,0.018654,0.004536,,,
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,Low,0.25,1024,6,SUCCESS,489.346875,0.002356,489.134592,0.002623,0.026084,0.028065,0.001878,0.04076,0.018085,0.041642,0.018301,0.004322,,,
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,Low,0.25,1024,7,SUCCESS,414.130521,0.002383,413.923856,0.002525,0.009736,0.020665,0.012313,0.048762,0.018636,0.041629,0.017928,0.004932,,,
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,Low,0.25,1024,8,SUCCESS,490.871081,0.001945,490.686707,0.002828,0.008976,0.020076,0.001819,0.041448,0.018121,0.041268,0.017535,0.004317,,,
