transaction_id,source_row_index,step,type,amount,oldbalanceOrg,oldbalanceDest,node_profile,cpu_limit,memory_mb,repetition,status,service_time_ms,schema_validation_ms,security_authorization_ms,begin_db_transaction_ms,idempotency_check_ms,account_lookup_ms,type_specific_validation_ms,state_update_ms,ledger_update_ms,audit_log_ms,completion_record_ms,commit_ms,rollback_ms,error_type,error_message
0cfc0319-2ffc-5f74-b250-8430b05f4baa,58,1,TRANSFER,62610.8,79114.0,517.0,High,1.0,4096,1,SUCCESS,87.775568,0.003064,87.588089,0.00313,0.010447,0.021598,0.00252,0.032174,0.019101,0.045969,0.018388,0.00418,,,
0cfc0319-2ffc-5f74-b250-8430b05f4baa,58,1,TRANSFER,62610.8,79114.0,517.0,High,1.0,4096,2,SUCCESS,86.132455,0.00217,85.95711,0.002579,0.009624,0.020636,0.002024,0.029707,0.018522,0.044254,0.017381,0.003971,,,
0cfc0319-2ffc-5f74-b250-8430b05f4baa,58,1,TRANSFER,62610.8,79114.0,517.0,High,1.0,4096,3,SUCCESS,84.533691,0.002193,84.384788,0.00221,0.008633,0.017516,0.001837,0.028415,0.016343,0.031277,0.016337,0.003552,,,
0cfc0319-2ffc-5f74-b250-8430b05f4baa,58,1,TRANSFER,62610.8,79114.0,517.0,High,1.0,4096,4,SUCCESS,83.959193,0.002677,83.82302,0.002225,0.008801,0.017169,0.001313,0.026225,0.015725,0.026916,0.01499,0.003354,,,
0cfc0319-2ffc-5f74-b250-8430b05f4baa,58,1,TRANSFER,62610.8,79114.0,517.0,High,1.0,4096,5,SUCCESS,85.015392,0.001958,84.839677,0.002574,0.008551,0.017806,0.001816,0.028626,0.032221,0.039536,0.016492,0.004046,,,
0cfc0319-2ffc-5f74-b250-8430b05f4baa,58,1,TRANSFER,62610.8,79114.0,517.0,Low,0.25,1024,1,SUCCESS,414.18351,0.005077,413.997008,0.00293,0.011894,0.020541,0.001889,0.031821,0.018152,0.041892,0.017652,0.004256,,,
0cfc0319-2ffc-5f74-b250-8430b05f4baa,58,1,TRANSFER,62610.8,79114.0,517.0,Low,0.25,1024,2,SUCCESS,498.117223,0.002148,497.940847,0.002543,0.010259,0.020579,0.001915,0.031598,0.019233,0.040425,0.016859,0.004771,,,
0cfc0319-2ffc-5f74-b250-8430b05f4baa,58,1,TRANSFER,62610.8,79114.0,517.0,Low,0.25,1024,3,SUCCESS,407.094713,0.002285,406.912408,0.003406,0.009818,0.019533,0.001854,0.033069,0.019558,0.043744,0.016776,0.004598,,,
0cfc0319-2ffc-5f74-b250-8430b05f4baa,58,1,TRANSFER,62610.8,79114.0,517.0,Low,0.25,1024,4,SUCCESS,492.991469,0.001987,492.812989,0.00283,0.010141,0.019693,0.002018,0.030536,0.019532,0.042411,0.018146,0.004317,,,
0cfc0319-2ffc-5f74-b250-8430b05f4baa,58,1,TRANSFER,62610.8,79114.0,517.0,Low,0.25,1024,5,SUCCESS,494.993706,0.002047,494.819726,0.002762,0.009548,0.018457,0.001955,0.030952,0.018739,0.041384,0.017398,0.004289,,,
0cfc0319-2ffc-5f74-b250-8430b05f4baa,58,1,TRANSFER,62610.8,79114.0,517.0,Medium,0.5,2048,1,SUCCESS,254.361784,0.00326,253.9228,0.00778,0.026385,0.05523,0.004817,0.082994,0.050765,0.09781,0.045127,0.011081,,,
0cfc0319-2ffc-5f74-b250-8430b05f4baa,58,1,TRANSFER,62610.8,79114.0,517.0,Medium,0.5,2048,2,SUCCESS,143.510791,0.005844,143.317971,0.00295,0.011216,0.021071,0.002007,0.03227,0.019697,0.044252,0.019052,0.003973,,,
0cfc0319-2ffc-5f74-b250-8430b05f4baa,58,1,TRANSFER,62610.8,79114.0,517.0,Medium,0.5,2048,3,SUCCESS,188.912432,0.002479,188.708694,0.002731,0.009723,0.020922,0.002072,0.032896,0.020146,0.046565,0.01802,0.020396,,,
0cfc0319-2ffc-5f74-b250-8430b05f4baa,58,1,TRANSFER,62610.8,79114.0,517.0,Medium,0.5,2048,4,SUCCESS,200.733581,0.002226,200.525,0.003754,0.01146,0.031314,0.002264,0.033826,0.021621,0.047504,0.021223,0.004303,,,
0cfc0319-2ffc-5f74-b250-8430b05f4baa,58,1,TRANSFER,62610.8,79114.0,517.0,Medium,0.5,2048,5,SUCCESS,189.66447,0.002242,189.411014,0.003227,0.010787,0.02329,0.002249,0.03441,0.021409,0.097939,0.023293,0.004882,,,
22ec8097-3f82-5206-b27a-1716510f8a15,390,1,CASH_IN,228451.89,143236.26,719678.38,High,1.0,4096,1,SUCCESS,90.262192,0.002544,90.052956,0.003071,0.020221,0.029421,0.001951,0.041713,0.011241,0.047432,0.017901,0.004536,,,
22ec8097-3f82-5206-b27a-1716510f8a15,390,1,CASH_IN,228451.89,143236.26,719678.38,High,1.0,4096,2,SUCCESS,86.164637,0.002939,85.899367,0.00319,0.009887,0.023039,0.003167,0.061242,0.011825,0.08155,0.024563,0.005155,,,
22ec8097-3f82-5206-b27a-1716510f8a15,390,1,CASH_IN,228451.89,143236.26,719678.38,High,1.0,4096,3,SUCCESS,84.567429,0.002889,84.378812,0.002389,0.009671,0.020907,0.001664,0.054345,0.011657,0.038765,0.017098,0.004028,,,
22ec8097-3f82-5206-b27a-1716510f8a15,390,1,CASH_IN,228451.89,143236.26,719678.38,High,1.0,4096,4,SUCCESS,84.949409,0.002327,84.743141,0.002513,0.009622,0.019146,0.002215,0.052008,0.011442,0.053091,0.022634,0.00462,,,
22ec8097-3f82-5206-b27a-1716510f8a15,390,1,CASH_IN,228451.89,143236.26,719678.38,High,1.0,4096,5,SUCCESS,85.336859,0.002816,85.154711,0.002387,0.009605,0.019787,0.001825,0.041648,0.0126,0.042662,0.017998,0.004259,,,
22ec8097-3f82-5206-b27a-1716510f8a15,390,1,CASH_IN,228451.89,143236.26,719678.38,Low,0.25,1024,1,SUCCESS,496.347301,0.001912,496.168867,0.002591,0.009472,0.020593,0.001728,0.040965,0.011358,0.041746,0.016612,0.004281,,,
22ec8097-3f82-5206-b27a-1716510f8a15,390,1,CASH_IN,228451.89,143236.26,719678.38,Low,0.25,1024,2,SUCCESS,421.09849,0.006711,420.89243,0.002783,0.0234,0.023253,0.002057,0.042725,0.010613,0.039643,0.016891,0.004628,,,
22ec8097-3f82-5206-b27a-1716510f8a15,390,1,CASH_IN,228451.89,143236.26,719678.38,Low,0.25,1024,3,SUCCESS,493.527982,0.00211,493.344281,0.002686,0.010298,0.021652,0.001577,0.043478,0.010549,0.042583,0.017288,0.004457,,,
22ec8097-3f82-5206-b27a-1716510f8a15,390,1,CASH_IN,228451.89,143236.26,719678.38,Low,0.25,1024,4,SUCCESS,405.076081,0.002029,404.887529,0.002901,0.010025,0.021855,0.001686,0.043922,0.011321,0.044012,0.018146,0.004632,,,
22ec8097-3f82-5206-b27a-1716510f8a15,390,1,CASH_IN,228451.89,143236.26,719678.38,Low,0.25,1024,5,SUCCESS,498.514339,0.001992,498.324355,0.003003,0.010566,0.029228,0.001604,0.041381,0.011516,0.042729,0.017247,0.004242,,,
22ec8097-3f82-5206-b27a-1716510f8a15,390,1,CASH_IN,228451.89,143236.26,719678.38,Medium,0.5,2048,1,SUCCESS,208.5973,0.002405,208.413798,0.00302,0.009531,0.022033,0.001981,0.042329,0.011619,0.043627,0.017542,0.004273,,,
22ec8097-3f82-5206-b27a-1716510f8a15,390,1,CASH_IN,228451.89,143236.26,719678.38,Medium,0.5,2048,2,SUCCESS,190.351917,0.002489,190.14877,0.002895,0.010302,0.02015,0.001629,0.061532,0.010818,0.043879,0.017799,0.00439,,,
