final_block,node_profile,pairs,median_cv_pct,mean_cv_pct,max_cv_pct,pairs_cv_gt_10
1,High,100,1.5391586996402276,1.6812673460988854,7.8534962135389765,0
1,Low,100,7.144353957534891,7.258230488295132,16.78596351404071,21
1,Medium,100,6.718489399063155,7.2558623920756835,14.282104472353865,19
2,High,100,0.7078650376675594,1.2845901640897726,13.041193252208155,3
2,Low,100,6.552737208106953,6.82937327321834,13.07154055313933,8
2,Medium,100,6.207228574141182,6.254938194283531,12.314939929143796,5
3,High,100,1.009939400548909,1.4908137179067935,10.38036541626316,1
3,Low,100,6.848179610336137,7.541725920104086,14.401117137567883,23
3,Medium,100,5.180129397429296,6.087304133376688,16.920597358194026,11
4,High,100,2.509989850902373,2.4592754080865196,8.30642411452438,0
4,Low,100,4.744602897813253,4.914835923416766,12.181840720086116,2
4,Medium,100,7.82334654997417,8.237178273455225,16.873252529461062,26
5,High,100,0.7715713811244687,1.6024048906870192,16.3394399792283,2
5,Low,100,5.972927821884079,5.8217877375289335,14.171273649524899,7
5,Medium,100,4.441729794760569,5.139124263737449,12.27991647910577,8
6,High,100,3.7269758884436435,3.8292139278176363,13.872538471957691,1
6,Low,100,5.699412693342746,5.854032799337733,15.253977185999204,10
6,Medium,100,6.668327605496536,6.949021540277794,17.66860268267036,11
7,High,100,1.1308650588488158,1.3329719340257464,11.08908172273562,1
7,Low,100,6.924650834562607,7.404595691634864,16.977127725695556,21
7,Medium,100,6.5022687774035015,7.136346102556294,14.422920174308487,20
8,High,100,0.7078706497172593,1.0583707786369043,9.765902363272348,0
8,Low,100,6.658335305996372,6.946655528831076,13.7407804126565,17
8,Medium,100,4.9230936063414195,5.367456895330393,17.03291162651054,5
9,High,100,2.194938442945724,2.297434296814822,9.054556150442696,0
9,Low,100,5.168053529943545,5.392694716746016,12.569110507334248,4
9,Medium,100,5.669970285857263,5.855717383813744,12.222012707617004,12
10,High,100,2.2222040605511646,2.310744212878225,12.364492239194856,2
10,Low,100,6.704766642201617,7.235069546908559,14.31741684196778,17
10,Medium,100,8.375051217398507,9.102271992239212,21.612729958583632,27
