type,node_profile,n,min,p05,median,mean,p95,max,mad
CASH_IN,High,200,20.410282,20.48313105,21.1585335,21.295067515,22.5530269,23.669527,0.5553275000000006
CASH_IN,Low,200,29.753403,32.14885945,34.839448,34.747165990000006,37.7111473,40.666392,1.4534920000000007
CASH_IN,Medium,200,25.45022,25.94630185,27.769374,27.733585544999997,29.337122499999996,30.832749,0.4615545000000001
CASH_OUT,High,200,27.162584,27.246785,28.0210215,28.412475224999998,31.08053335,32.20569,0.6392145000000014
CASH_OUT,Low,200,41.815232,42.82542095,46.2664495,45.995542750000006,48.202482749999994,49.153924,1.260914500000002
CASH_OUT,Medium,200,33.821116,34.897005750000005,36.87838,36.83514759,38.48838165,42.087077,0.4119210000000031
DEBIT,High,200,30.563551,30.66298855,31.638664499999997,32.045426335,34.5390568,35.076845,0.8513870000000008
DEBIT,Low,200,48.966125,49.902041999999994,51.437424,51.574318505,53.71851495,56.865132,0.564408499999999
DEBIT,Medium,200,38.656033,39.721239,40.5344615,40.790530175,42.73892025,44.37177,0.3794544999999978
PAYMENT,High,200,23.807351,23.870078200000002,24.513520999999997,24.70526152,26.15353985,28.435418,0.5385520000000028
PAYMENT,Low,200,34.516154,38.4788386,39.836043000000004,39.81357390000001,41.394154449999995,42.338867,0.5678820000000044
PAYMENT,Medium,200,29.048641,30.6636299,31.558727500000003,31.98553321,33.681323400000004,36.600993,0.5368480000000027
TRANSFER,High,200,33.914254,34.0574016,35.316626,35.52961493,37.95934235,42.911684,1.0254455
TRANSFER,Low,200,53.640415,55.76287265,57.84778300000001,57.770973565000006,59.85885065,60.569287,0.8698069999999909
TRANSFER,Medium,200,43.170418,43.7927689,45.813062,45.630929325,47.73684005,48.718405,1.138104000000002
