final_block,node_profile,count,median,mean
1,High,100,28.047745,28.33842729
1,Low,100,46.1319675,45.64870307
1,Medium,100,36.677516,36.53692152
2,High,100,27.3650135,27.44295348
2,Low,100,47.142511999999996,45.779445880000004
2,Medium,100,38.296019,36.92993499
3,High,100,27.735698499999998,27.73376245
3,Low,100,46.083265,46.089600170000004
3,Medium,100,36.804539500000004,36.27034589
4,High,100,29.835347,29.37602365
4,Low,100,46.1296505,45.99646704
4,Medium,100,36.227954,36.198258609999996
5,High,100,27.392715000000003,27.40418709
5,Low,100,45.7653545,45.56181437
5,Medium,100,36.89574,36.35534096
6,High,100,31.0856575,30.423777759999997
6,Low,100,46.321222,46.18452178
6,Medium,100,35.4289155,36.78721718
7,High,100,27.984506000000003,27.86416478
7,Low,100,45.9780305,46.4277387
7,Medium,100,36.8268305,36.8840875
8,High,100,27.3141915,27.37859846
8,Low,100,46.8010445,45.75865413
8,Medium,100,37.131694499999995,36.63834183
9,High,100,29.3448455,29.05094616
9,Low,100,46.1862305,45.86735831
9,Medium,100,37.23596,36.655998589999996
10,High,100,28.694875000000003,28.96284993
10,Low,100,46.492559,46.48884597
10,Medium,100,37.00626200000001,36.69500462
