type,node_profile,count,median,mean
CASH_IN,High,200,21.1585335,21.295067515
CASH_IN,Low,200,34.839448,34.74716599
CASH_IN,Medium,200,27.769374,27.733585545
CASH_OUT,High,200,28.0210215,28.412475224999998
CASH_OUT,Low,200,46.2664495,45.995542750000006
CASH_OUT,Medium,200,36.87838,36.83514759
DEBIT,High,200,31.638664499999997,32.045426335
DEBIT,Low,200,51.437424,51.574318505
DEBIT,Medium,200,40.5344615,40.790530175
PAYMENT,High,200,24.513520999999997,24.70526152
PAYMENT,Low,200,39.836043000000004,39.8135739
PAYMENT,Medium,200,31.558727500000003,31.98553321
TRANSFER,High,200,35.316626,35.52961493
TRANSFER,Low,200,57.84778300000001,57.770973565000006
TRANSFER,Medium,200,45.813062,45.630929325
