transaction_id,type,split,rank_within_type_split,deterministic_rank_sha256
1a483f13-0b45-5dea-947d-b36a12a6fc5c,CASH_IN,train,1,037e72c69e31b2b46ae5389cd5d83c0caad6b4433fa154a2d21eed89716a81e5
61dc44e2-e46d-5e6b-95ac-e043762ab645,CASH_IN,train,2,052356f7438a61f2c05fb78526d2233e3024af812a704398106b26b80d871a70
3f5d0ef4-7d0c-5784-9114-5669e1a94ef1,CASH_IN,train,3,063f537b355c0089e3eb84484080b2574cc7f5122c6395373f1a1dff68d50643
abaf765c-2cf2-5dfe-9beb-63146577c92c,CASH_IN,train,4,0829d1b9775eb5c9c623e2a22d224d8a27d220592725af8d59fb9b7af4651daf
fd23fe47-255f-57ef-8f41-0be6dda977a0,CASH_IN,train,5,091e9cbc98d9adb898e39324dfdd74f9d2184ba2f30675d4a080a4685b1bcb6a
79cb008e-6631-5857-b372-c531d1843b11,CASH_IN,train,6,09239b5d83f2846284e3df585115195eb0d37d1d46affe9034d4695353f4b14b
6f27fce9-3d10-5e13-91f3-f1100f73e5c1,CASH_IN,train,7,092984e622e70856efa4c18264a90b85db09af425351695f32b873d92b9b68b3
64c8f28c-fa7c-5428-8efe-24dc9698967a,CASH_IN,train,8,0a7e42dfe743bfe9fc85d614dd30b528a53bc2e3f88ace15d41b53a27dcfc471
0a867ee4-d35f-5013-a1a6-110ac16ed1a1,CASH_IN,train,9,0b77992fa3628f1d2b0f81de25c11ec3adf43e9168612c37496a7ec74483825b
b2bc1141-6862-5f98-bbf0-215dfcffa8f1,CASH_IN,train,10,0d1badfbbff6ef26af99c6bc8d16d7f218c193de61bad767b18ebb7833f435b2
d22b9a01-a2e8-50d3-947d-11d61a2be4a5,CASH_IN,train,11,0eaa57fbf053ee5181a0c94936fa07b6fcf0bb76cba285ee7fea1469848e2ead
d6872277-0998-56a9-9fe1-0d83942f0f42,CASH_IN,train,12,0ee42943819c4299d9ed6bda376e2dca2907c9cdd1d1a390c9f30f334f385ae2
396b9b39-d198-5079-8348-b849508008d6,CASH_IN,train,13,0ff7774790d428feff99b3c9ca1238f9ec00272c3b026e62dca9c92530ac18ae
a8ef0461-63b8-5632-9146-f0a078f55786,CASH_IN,train,14,107dbc3a0d709ac7e16f50068444ffd3bbca3940da3c2aff5ac989b9cae5ac54
