split,transaction_id,state_replica,type,node_profile,active_workers,queue_length,simulator_regime,service_time_ms,actual_queue_wait_ms,completion_time_ms
train,006ca6d7-2113-5e40-8812-de583cc5c117,0,TRANSFER,High,3,0,idle,35.192886,0.0,35.192886
train,006ca6d7-2113-5e40-8812-de583cc5c117,1,TRANSFER,High,10,1,busy,35.192886,6.984385139393433,42.17727113939343
train,006ca6d7-2113-5e40-8812-de583cc5c117,2,TRANSFER,High,9,0,normal,35.192886,0.0,35.192886
train,006ca6d7-2113-5e40-8812-de583cc5c117,0,TRANSFER,Low,10,22,surge,59.519256,99.02623971912558,158.5454957191256
train,006ca6d7-2113-5e40-8812-de583cc5c117,1,TRANSFER,Low,6,0,normal,59.519256,0.0,59.519256
train,006ca6d7-2113-5e40-8812-de583cc5c117,2,TRANSFER,Low,9,0,normal,59.519256,0.0,59.519256
train,006ca6d7-2113-5e40-8812-de583cc5c117,0,TRANSFER,Medium,10,10,busy,48.003524,45.82347925085773,93.82700325085773
train,006ca6d7-2113-5e40-8812-de583cc5c117,1,TRANSFER,Medium,1,0,idle,48.003524,0.0,48.003524
train,006ca6d7-2113-5e40-8812-de583cc5c117,2,TRANSFER,Medium,10,0,busy,48.003524,2.587098056667431,50.59062205666743
train,006ec7c4-7bbd-55ba-9138-807e1c4c988e,0,TRANSFER,High,10,8,busy,36.525243,24.037721078243607,60.56296407824361
train,006ec7c4-7bbd-55ba-9138-807e1c4c988e,1,TRANSFER,High,10,10,busy,36.525243,28.31707951156163,64.84232251156163
train,006ec7c4-7bbd-55ba-9138-807e1c4c988e,2,TRANSFER,High,9,0,normal,36.525243,0.0,36.525243
train,006ec7c4-7bbd-55ba-9138-807e1c4c988e,0,TRANSFER,Low,10,3,busy,58.628935,17.788153173947073,76.41708817394706
train,006ec7c4-7bbd-55ba-9138-807e1c4c988e,1,TRANSFER,Low,6,0,normal,58.628935,0.0,58.628935
train,006ec7c4-7bbd-55ba-9138-807e1c4c988e,2,TRANSFER,Low,10,2,busy,58.628935,8.345353925022936,66.97428892502293
train,006ec7c4-7bbd-55ba-9138-807e1c4c988e,0,TRANSFER,Medium,9,0,normal,46.216302,0.0,46.216302
train,006ec7c4-7bbd-55ba-9138-807e1c4c988e,1,TRANSFER,Medium,10,3,busy,46.216302,9.879089538010069,56.09539153801007
train,006ec7c4-7bbd-55ba-9138-807e1c4c988e,2,TRANSFER,Medium,10,9,busy,46.216302,41.05229074972058,87.26859274972057
train,0087127e-c89f-572e-972a-057dd92716c6,0,DEBIT,High,5,0,normal,32.302378,0.0,32.302378
train,0087127e-c89f-572e-972a-057dd92716c6,1,DEBIT,High,4,0,idle,32.302378,0.0,32.302378
train,0087127e-c89f-572e-972a-057dd92716c6,2,DEBIT,High,10,3,busy,32.302378,12.334617879326501,44.6369958793265
train,0087127e-c89f-572e-972a-057dd92716c6,0,DEBIT,Low,10,3,busy,51.480569,28.39918688733098,79.87975588733099
train,0087127e-c89f-572e-972a-057dd92716c6,1,DEBIT,Low,6,0,normal,51.480569,0.0,51.480569
train,0087127e-c89f-572e-972a-057dd92716c6,2,DEBIT,Low,10,4,busy,51.480569,18.775559963146502,70.25612896314651
train,0087127e-c89f-572e-972a-057dd92716c6,0,DEBIT,Medium,8,0,normal,40.907439,0.0,40.907439
train,0087127e-c89f-572e-972a-057dd92716c6,1,DEBIT,Medium,7,0,normal,40.907439,0.0,40.907439
train,0087127e-c89f-572e-972a-057dd92716c6,2,DEBIT,Medium,10,30,surge,40.907439,110.47546481504736,151.38290381504737
train,01c21ab9-0508-5411-a641-0f98dacce6ba,0,DEBIT,High,8,0,normal,30.659332,0.0,30.659332
train,01c21ab9-0508-5411-a641-0f98dacce6ba,1,DEBIT,High,9,0,normal,30.659332,0.0,30.659332
train,01c21ab9-0508-5411-a641-0f98dacce6ba,2,DEBIT,High,2,0,idle,30.659332,0.0,30.659332
train,01c21ab9-0508-5411-a641-0f98dacce6ba,0,DEBIT,Low,10,3,busy,52.632105,9.753426402474892,62.385531402474896
train,01c21ab9-0508-5411-a641-0f98dacce6ba,1,DEBIT,Low,10,0,busy,52.632105,2.8841055392097656,55.516210539209766
train,01c21ab9-0508-5411-a641-0f98dacce6ba,2,DEBIT,Low,10,19,surge,52.632105,90.61226487529463,143.24436987529464
train,01c21ab9-0508-5411-a641-0f98dacce6ba,0,DEBIT,Medium,10,1,busy,40.643008,6.173680171228585,46.816688171228584
train,01c21ab9-0508-5411-a641-0f98dacce6ba,1,DEBIT,Medium,0,0,idle,40.643008,0.0,40.643008
train,01c21ab9-0508-5411-a641-0f98dacce6ba,2,DEBIT,Medium,9,0,normal,40.643008,0.0,40.643008
train,027edc78-b22f-5a49-8bea-93a58d26fd20,0,CASH_IN,High,0,0,idle,20.522681,0.0,20.522681
