transaction_id,source_row_index,step,type,amount,oldbalanceOrg,oldbalanceDest,node_profile,cpu_limit,memory_mb,repetition,status,service_time_ms,schema_validation_ms,security_authorization_ms,begin_db_transaction_ms,idempotency_check_ms,account_lookup_ms,type_specific_validation_ms,state_update_ms,ledger_update_ms,audit_log_ms,completion_record_ms,commit_ms,rollback_ms,error_type,error_message
0cfc0319-2ffc-5f74-b250-8430b05f4baa,58,1,TRANSFER,62610.8,79114.0,517.0,High,1.0,4096,1,SUCCESS,34.979597,0.002651,13.503076,0.001882,0.007287,0.015125,21.349692,0.032129,0.014214,0.018867,0.015238,0.003705,,,
0cfc0319-2ffc-5f74-b250-8430b05f4baa,58,1,TRANSFER,62610.8,79114.0,517.0,High,1.0,4096,2,SUCCESS,36.382155,0.001981,14.732792,0.001866,0.00721,0.014888,21.507349,0.033267,0.014789,0.018827,0.029159,0.00446,,,
0cfc0319-2ffc-5f74-b250-8430b05f4baa,58,1,TRANSFER,62610.8,79114.0,517.0,High,1.0,4096,3,SUCCESS,35.941597,0.002012,14.539938,0.002256,0.011784,0.015994,21.265029,0.035516,0.014776,0.020354,0.014129,0.003721,,,
0cfc0319-2ffc-5f74-b250-8430b05f4baa,58,1,TRANSFER,62610.8,79114.0,517.0,High,1.0,4096,4,SUCCESS,35.824463,0.001993,14.492039,0.001771,0.006778,0.013739,21.21586,0.030435,0.013489,0.018383,0.013033,0.003469,,,
0cfc0319-2ffc-5f74-b250-8430b05f4baa,58,1,TRANSFER,62610.8,79114.0,517.0,High,1.0,4096,5,SUCCESS,35.748378,0.002436,14.399498,0.001851,0.007362,0.013971,21.200798,0.034462,0.019448,0.034023,0.014747,0.003851,,,
22ec8097-3f82-5206-b27a-1716510f8a15,390,1,CASH_IN,228451.89,143236.26,719678.38,High,1.0,4096,1,SUCCESS,22.008332,0.002605,14.9314,0.002764,0.009048,0.020777,6.927278,0.038523,0.01075,0.018949,0.016597,0.004296,,,
22ec8097-3f82-5206-b27a-1716510f8a15,390,1,CASH_IN,228451.89,143236.26,719678.38,High,1.0,4096,2,SUCCESS,22.928791,0.002924,14.937101,0.002868,0.009416,0.019583,7.8203,0.050249,0.011752,0.023787,0.017724,0.004862,,,
22ec8097-3f82-5206-b27a-1716510f8a15,390,1,CASH_IN,228451.89,143236.26,719678.38,High,1.0,4096,3,SUCCESS,21.711964,0.002018,13.75332,0.002008,0.008005,0.015069,7.823786,0.03994,0.010943,0.020593,0.014998,0.004079,,,
22ec8097-3f82-5206-b27a-1716510f8a15,390,1,CASH_IN,228451.89,143236.26,719678.38,High,1.0,4096,4,SUCCESS,22.08122,0.00187,13.485296,0.002553,0.00714,0.014354,8.427305,0.05477,0.011708,0.03285,0.017733,0.005573,,,
22ec8097-3f82-5206-b27a-1716510f8a15,390,1,CASH_IN,228451.89,143236.26,719678.38,High,1.0,4096,5,SUCCESS,21.620098,0.002084,13.414073,0.002456,0.007499,1.160652,6.905758,0.047574,0.009735,0.019675,0.01682,0.00604,,,
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,High,1.0,4096,1,SUCCESS,25.290393,0.002375,14.981177,0.002607,0.008549,0.022983,10.146399,0.041053,0.016822,0.020415,0.018439,0.004334,,,
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,High,1.0,4096,2,SUCCESS,26.0378,0.002453,14.68947,0.002612,0.010705,0.020093,11.126473,0.074135,0.019627,0.037256,0.020019,0.007483,,,
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,High,1.0,4096,3,SUCCESS,29.40804,0.003055,16.488406,0.002696,0.0095,0.021358,12.682852,0.0785,0.018911,0.040418,0.020312,0.006655,,,
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,High,1.0,4096,4,SUCCESS,34.016898,0.002795,21.434383,0.002879,0.01056,0.022945,12.367556,0.063742,0.019064,0.032735,0.019123,0.006994,,,
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,High,1.0,4096,5,SUCCESS,26.018834,0.002418,14.645482,0.001859,0.008509,0.017887,11.213696,0.046362,0.016494,0.023428,0.016244,0.004584,,,
538a51c5-17e0-5514-b8f8-4932adef1d87,2,1,TRANSFER,181.0,181.0,0.0,High,1.0,4096,1,SUCCESS,35.935516,0.002849,14.550373,0.002046,0.007783,0.016593,21.246869,0.036121,0.014789,0.020973,0.015693,0.003706,,,
538a51c5-17e0-5514-b8f8-4932adef1d87,2,1,TRANSFER,181.0,181.0,0.0,High,1.0,4096,2,SUCCESS,34.672527,0.001859,13.393631,0.002723,0.010514,0.014389,21.104158,0.072588,0.015537,0.020756,0.015921,0.004002,,,
538a51c5-17e0-5514-b8f8-4932adef1d87,2,1,TRANSFER,181.0,181.0,0.0,High,1.0,4096,3,SUCCESS,36.158343,0.001734,14.438149,0.001714,0.007466,0.014592,21.540025,0.047393,0.017596,0.041935,0.023363,0.005468,,,
538a51c5-17e0-5514-b8f8-4932adef1d87,2,1,TRANSFER,181.0,181.0,0.0,High,1.0,4096,4,SUCCESS,35.842554,0.002636,14.456648,0.001999,0.007716,0.015306,21.260332,0.033354,0.013537,0.01893,0.013138,0.003556,,,
538a51c5-17e0-5514-b8f8-4932adef1d87,2,1,TRANSFER,181.0,181.0,0.0,High,1.0,4096,5,SUCCESS,36.38526,0.001883,14.88797,0.00258,0.008324,0.01772,21.344843,0.034301,0.015053,0.025706,0.013729,0.003978,,,
7cea622d-3b84-505d-9c0d-579d30336375,21,1,DEBIT,9302.79,11299.0,29832.0,High,1.0,4096,1,SUCCESS,34.329901,0.0024,14.750346,0.003028,0.009509,0.020999,19.334559,0.073469,0.019161,0.037943,0.036059,0.007763,,,
7cea622d-3b84-505d-9c0d-579d30336375,21,1,DEBIT,9302.79,11299.0,29832.0,High,1.0,4096,2,SUCCESS,31.865687,0.002221,13.761429,0.002064,0.007376,0.015268,17.96695,0.041261,0.013676,0.02024,0.014469,0.004144,,,
7cea622d-3b84-505d-9c0d-579d30336375,21,1,DEBIT,9302.79,11299.0,29832.0,High,1.0,4096,3,SUCCESS,32.879277,0.001911,14.637482,0.002494,0.008436,0.019081,18.070188,0.049641,0.016777,0.024746,0.017739,0.005082,,,
7cea622d-3b84-505d-9c0d-579d30336375,21,1,DEBIT,9302.79,11299.0,29832.0,High,1.0,4096,4,SUCCESS,34.265938,0.002326,14.865377,0.00306,0.013847,0.02204,19.211655,0.05171,0.017286,0.026469,0.017718,0.005312,,,
7cea622d-3b84-505d-9c0d-579d30336375,21,1,DEBIT,9302.79,11299.0,29832.0,High,1.0,4096,5,SUCCESS,31.501413,0.002287,13.433159,0.002095,0.007847,0.014089,17.92005,0.044614,0.017342,0.023753,0.01624,0.004597,,,
84b2de13-d56e-5802-bbea-6a9c126d197a,9,1,DEBIT,5337.77,41720.0,41898.0,High,1.0,4096,1,SUCCESS,36.422772,0.003496,15.975178,0.002836,0.009631,0.019051,20.192391,0.089101,0.024462,0.045206,0.023796,0.007958,,,
84b2de13-d56e-5802-bbea-6a9c126d197a,9,1,DEBIT,5337.77,41720.0,41898.0,High,1.0,4096,2,SUCCESS,39.4366,0.003158,19.19358,0.002924,0.010301,0.022239,19.919704,0.120018,0.027885,0.057383,0.029247,0.009625,,,
84b2de13-d56e-5802-bbea-6a9c126d197a,9,1,DEBIT,5337.77,41720.0,41898.0,High,1.0,4096,3,SUCCESS,33.082784,0.003013,14.618907,0.00253,0.009529,0.020331,18.251509,0.068151,0.01901,0.035347,0.018652,0.006628,,,
84b2de13-d56e-5802-bbea-6a9c126d197a,9,1,DEBIT,5337.77,41720.0,41898.0,High,1.0,4096,4,SUCCESS,32.436185,0.002467,13.557921,0.002238,0.008112,0.016932,18.654507,0.081861,0.020188,0.039754,0.01963,0.007253,,,
84b2de13-d56e-5802-bbea-6a9c126d197a,9,1,DEBIT,5337.77,41720.0,41898.0,High,1.0,4096,5,SUCCESS,35.193532,0.002956,16.19448,0.00282,0.010783,0.024289,18.759664,0.084074,0.018799,0.03599,0.018298,0.006647,,,
84bc550d-9bc7-5b80-81d3-906a3d089c2c,3,1,CASH_OUT,181.0,181.0,21182.0,High,1.0,4096,1,SUCCESS,30.010628,0.003113,15.007229,0.002656,0.008976,0.02019,14.783397,0.072907,0.01739,0.034716,0.018709,0.005944,,,
84bc550d-9bc7-5b80-81d3-906a3d089c2c,3,1,CASH_OUT,181.0,181.0,21182.0,High,1.0,4096,2,SUCCESS,29.737313,0.002359,14.700884,0.002217,0.008482,0.018287,14.80945,0.080753,0.020203,0.038887,0.020058,0.007107,,,
84bc550d-9bc7-5b80-81d3-906a3d089c2c,3,1,CASH_OUT,181.0,181.0,21182.0,High,1.0,4096,3,SUCCESS,30.849638,0.00292,15.120406,0.002748,0.009789,0.022327,15.486248,0.081293,0.020956,0.038903,0.019095,0.007364,,,
84bc550d-9bc7-5b80-81d3-906a3d089c2c,3,1,CASH_OUT,181.0,181.0,21182.0,High,1.0,4096,4,SUCCESS,29.694632,0.002772,15.69434,0.002768,0.009294,0.020447,13.789604,0.065507,0.017791,0.03619,0.018012,0.005995,,,
84bc550d-9bc7-5b80-81d3-906a3d089c2c,3,1,CASH_OUT,181.0,181.0,21182.0,High,1.0,4096,5,SUCCESS,34.922196,0.002866,15.516005,0.002701,0.010859,0.021869,19.080356,0.116449,0.030806,0.061519,0.028315,0.010435,,,
94dc0552-c337-5087-9d12-6ab55c270d00,389,1,CASH_IN,143236.26,0.0,608932.17,High,1.0,4096,1,SUCCESS,22.161747,0.002729,14.933863,0.003498,0.010232,0.021145,7.038349,0.056601,0.01052,0.029019,0.018314,0.005835,,,
94dc0552-c337-5087-9d12-6ab55c270d00,389,1,CASH_IN,143236.26,0.0,608932.17,High,1.0,4096,2,SUCCESS,22.02872,0.003732,14.924738,0.002762,0.009909,0.02127,6.926649,0.047805,0.011493,0.027544,0.0175,0.004795,,,
94dc0552-c337-5087-9d12-6ab55c270d00,389,1,CASH_IN,143236.26,0.0,608932.17,High,1.0,4096,3,SUCCESS,22.833083,0.003644,15.202779,0.003353,0.010615,0.022641,7.447462,0.047709,0.013662,0.025003,0.020791,0.004686,,,
94dc0552-c337-5087-9d12-6ab55c270d00,389,1,CASH_IN,143236.26,0.0,608932.17,High,1.0,4096,4,SUCCESS,23.999722,0.004221,14.909451,0.002737,0.009821,0.021573,8.886332,0.062112,0.012187,0.037625,0.019901,0.006234,,,
94dc0552-c337-5087-9d12-6ab55c270d00,389,1,CASH_IN,143236.26,0.0,608932.17,High,1.0,4096,5,SUCCESS,21.739976,0.003418,13.71191,0.002179,0.008409,0.019324,7.866525,0.046052,0.01037,0.026138,0.01833,0.004785,,,
dc657fb4-42d9-56de-8897-98d0fef45042,1,1,PAYMENT,1864.28,21249.0,0.0,High,1.0,4096,1,SUCCESS,25.517342,0.00244,15.00792,0.003098,0.011795,0.021704,10.334733,0.044841,0.016887,0.022735,0.01807,0.004529,,,
dc657fb4-42d9-56de-8897-98d0fef45042,1,1,PAYMENT,1864.28,21249.0,0.0,High,1.0,4096,2,SUCCESS,28.337004,0.002727,16.626276,0.002542,0.00896,0.019932,11.501055,0.070103,0.017406,0.033593,0.018408,0.005923,,,
