transaction_id,source_row_index,step,type,amount,oldbalanceOrg,oldbalanceDest,node_profile,cpu_limit,memory_mb,repetition,status,service_time_ms,schema_validation_ms,security_authorization_ms,begin_db_transaction_ms,idempotency_check_ms,account_lookup_ms,type_specific_validation_ms,state_update_ms,ledger_update_ms,audit_log_ms,completion_record_ms,commit_ms,rollback_ms,error_type,error_message
0cfc0319-2ffc-5f74-b250-8430b05f4baa,58,1,TRANSFER,62610.8,79114.0,517.0,Low,0.6,1024,1,SUCCESS,58.925309,0.002652,21.884086,0.002835,0.013596,0.017931,36.878683,0.040589,0.01645,0.025319,0.017162,0.004659,,,
0cfc0319-2ffc-5f74-b250-8430b05f4baa,58,1,TRANSFER,62610.8,79114.0,517.0,Low,0.6,1024,2,SUCCESS,58.824742,0.001985,21.813094,0.002166,0.007489,0.015561,36.88273,0.032555,0.014331,0.019148,0.014942,0.003668,,,
0cfc0319-2ffc-5f74-b250-8430b05f4baa,58,1,TRANSFER,62610.8,79114.0,517.0,Low,0.6,1024,3,SUCCESS,59.123513,0.001967,21.857801,0.001906,0.007313,0.014197,37.137439,0.033174,0.014926,0.020337,0.014937,0.003447,,,
0cfc0319-2ffc-5f74-b250-8430b05f4baa,58,1,TRANSFER,62610.8,79114.0,517.0,Low,0.6,1024,4,SUCCESS,53.83481,0.001849,16.875605,0.001852,0.006802,0.013969,36.837483,0.032877,0.014265,0.01844,0.013365,0.00388,,,
0cfc0319-2ffc-5f74-b250-8430b05f4baa,58,1,TRANSFER,62610.8,79114.0,517.0,Low,0.6,1024,5,SUCCESS,56.278948,0.001704,23.311276,0.001814,0.006888,0.014347,32.829914,0.035436,0.020017,0.021226,0.015747,0.004319,,,
22ec8097-3f82-5206-b27a-1716510f8a15,390,1,CASH_IN,228451.89,143236.26,719678.38,Low,0.6,1024,1,SUCCESS,30.087588,0.00243,21.812883,0.002136,0.007818,0.016139,8.140965,0.037496,0.010478,0.018531,0.016019,0.004183,,,
22ec8097-3f82-5206-b27a-1716510f8a15,390,1,CASH_IN,228451.89,143236.26,719678.38,Low,0.6,1024,2,SUCCESS,35.784367,0.002325,28.892502,0.001853,0.007831,0.016393,6.76529,0.035493,0.00943,0.017687,0.014653,0.003834,,,
22ec8097-3f82-5206-b27a-1716510f8a15,390,1,CASH_IN,228451.89,143236.26,719678.38,Low,0.6,1024,3,SUCCESS,32.930894,0.001712,22.949407,0.001762,0.006926,0.014151,9.86328,0.035794,0.008709,0.01819,0.012655,0.003628,,,
22ec8097-3f82-5206-b27a-1716510f8a15,390,1,CASH_IN,228451.89,143236.26,719678.38,Low,0.6,1024,4,SUCCESS,33.934639,0.0261,21.83457,0.002165,0.007276,0.013831,11.921369,0.053207,0.011132,0.020654,0.023358,0.004383,,,
22ec8097-3f82-5206-b27a-1716510f8a15,390,1,CASH_IN,228451.89,143236.26,719678.38,Low,0.6,1024,5,SUCCESS,37.228586,0.002184,25.22008,0.002557,0.00717,0.015254,11.88842,0.035219,0.00834,0.01756,0.0132,0.003516,,,
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,Low,0.6,1024,1,SUCCESS,40.434969,0.001844,21.792092,0.001761,0.006794,0.014189,18.503479,0.040364,0.014177,0.022961,0.015985,0.004444,,,
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,Low,0.6,1024,2,SUCCESS,40.547264,0.001996,21.862447,0.001844,0.007655,0.014602,18.556875,0.034868,0.013867,0.018266,0.015007,0.00351,,,
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,Low,0.6,1024,3,SUCCESS,40.454487,0.002204,21.829134,0.00192,0.007494,0.015759,18.480714,0.044496,0.020019,0.018842,0.013852,0.003716,,,
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,Low,0.6,1024,4,SUCCESS,36.634297,0.001861,25.19915,0.001756,0.007197,0.013683,11.298654,0.04014,0.014884,0.020165,0.016302,0.004336,,,
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,Low,0.6,1024,5,SUCCESS,40.41764,0.002656,29.03299,0.002163,0.007906,0.015753,11.24832,0.037077,0.014802,0.017782,0.01535,0.003838,,,
