transaction_id,source_row_index,step,type,amount,oldbalanceOrg,oldbalanceDest,node_profile,cpu_limit,memory_mb,repetition,status,service_time_ms,schema_validation_ms,security_authorization_ms,begin_db_transaction_ms,idempotency_check_ms,account_lookup_ms,type_specific_validation_ms,state_update_ms,ledger_update_ms,audit_log_ms,completion_record_ms,commit_ms,rollback_ms,error_type,error_message
0cfc0319-2ffc-5f74-b250-8430b05f4baa,58,1,TRANSFER,62610.8,79114.0,517.0,Low,0.6,1024,1,SUCCESS,58.877523,0.00163,19.233706,0.001976,0.007331,0.013874,39.514395,0.034727,0.014477,0.020824,0.014436,0.003892,,,
0cfc0319-2ffc-5f74-b250-8430b05f4baa,58,1,TRANSFER,62610.8,79114.0,517.0,Low,0.6,1024,2,SUCCESS,53.016495,0.002033,19.350504,0.001968,0.006965,0.014285,33.544246,0.032118,0.013843,0.017946,0.013215,0.003486,,,
0cfc0319-2ffc-5f74-b250-8430b05f4baa,58,1,TRANSFER,62610.8,79114.0,517.0,Low,0.6,1024,3,SUCCESS,59.03176,0.001612,24.939753,0.017664,0.008616,0.01633,33.929376,0.037247,0.016212,0.023442,0.016295,0.004892,,,
0cfc0319-2ffc-5f74-b250-8430b05f4baa,58,1,TRANSFER,62610.8,79114.0,517.0,Low,0.6,1024,4,SUCCESS,58.350194,0.002144,24.652576,0.001992,0.007118,0.01388,33.579009,0.030251,0.01313,0.018107,0.013326,0.003725,,,
0cfc0319-2ffc-5f74-b250-8430b05f4baa,58,1,TRANSFER,62610.8,79114.0,517.0,Low,0.6,1024,5,SUCCESS,58.875935,0.001691,24.834813,0.001907,0.00682,0.013718,33.855553,0.058651,0.024571,0.033763,0.017976,0.006433,,,
22ec8097-3f82-5206-b27a-1716510f8a15,390,1,CASH_IN,228451.89,143236.26,719678.38,Low,0.6,1024,1,SUCCESS,35.525935,0.001735,24.774976,0.001835,0.007388,0.014151,10.621421,0.045107,0.008682,0.017751,0.013957,0.003851,,,
22ec8097-3f82-5206-b27a-1716510f8a15,390,1,CASH_IN,228451.89,143236.26,719678.38,Low,0.6,1024,2,SUCCESS,31.929384,0.001872,23.107927,0.001863,0.007477,0.014432,8.695871,0.037658,0.009336,0.01813,0.014621,0.003924,,,
22ec8097-3f82-5206-b27a-1716510f8a15,390,1,CASH_IN,228451.89,143236.26,719678.38,Low,0.6,1024,3,SUCCESS,33.886703,0.001436,26.934374,0.002273,0.008613,0.015557,6.821859,0.037363,0.009493,0.018369,0.014639,0.004216,,,
22ec8097-3f82-5206-b27a-1716510f8a15,390,1,CASH_IN,228451.89,143236.26,719678.38,Low,0.6,1024,4,SUCCESS,35.98357,0.002123,25.252701,0.003114,0.009383,0.018019,10.58537,0.039208,0.009261,0.020538,0.016299,0.004184,,,
22ec8097-3f82-5206-b27a-1716510f8a15,390,1,CASH_IN,228451.89,143236.26,719678.38,Low,0.6,1024,5,SUCCESS,29.806427,0.001758,17.354721,0.002679,0.007146,0.014052,12.330359,0.035409,0.008364,0.01797,0.014247,0.003731,,,
