transaction_id,source_row_index,step,type,amount,oldbalanceOrg,oldbalanceDest,node_profile,cpu_limit,memory_mb,repetition,status,service_time_ms,schema_validation_ms,security_authorization_ms,begin_db_transaction_ms,idempotency_check_ms,account_lookup_ms,type_specific_validation_ms,state_update_ms,ledger_update_ms,audit_log_ms,completion_record_ms,commit_ms,rollback_ms,error_type,error_message
0cfc0319-2ffc-5f74-b250-8430b05f4baa,58,1,TRANSFER,62610.8,79114.0,517.0,Low,0.5,1024,1,SUCCESS,63.833264,0.002376,20.704515,0.002667,0.010606,0.020795,42.915949,0.060406,0.019399,0.0365,0.019911,0.006176,,,
0cfc0319-2ffc-5f74-b250-8430b05f4baa,58,1,TRANSFER,62610.8,79114.0,517.0,Low,0.5,1024,2,SUCCESS,75.010818,0.00254,27.543941,0.002619,0.008889,0.020844,47.250999,0.063287,0.019261,0.040511,0.018415,0.006383,,,
0cfc0319-2ffc-5f74-b250-8430b05f4baa,58,1,TRANSFER,62610.8,79114.0,517.0,Low,0.5,1024,3,SUCCESS,69.64344,0.002361,24.407935,0.00287,0.009105,0.019392,45.021034,0.063188,0.020206,0.038718,0.018935,0.006473,,,
0cfc0319-2ffc-5f74-b250-8430b05f4baa,58,1,TRANSFER,62610.8,79114.0,517.0,Low,0.5,1024,4,SUCCESS,71.987956,0.002349,29.003495,0.002656,0.00926,0.02128,42.772566,0.064317,0.018278,0.035999,0.018609,0.005967,,,
0cfc0319-2ffc-5f74-b250-8430b05f4baa,58,1,TRANSFER,62610.8,79114.0,517.0,Low,0.5,1024,5,SUCCESS,70.001224,0.00223,27.189886,0.002893,0.009168,0.020727,42.594944,0.063491,0.023651,0.036482,0.018718,0.006529,,,
22ec8097-3f82-5206-b27a-1716510f8a15,390,1,CASH_IN,228451.89,143236.26,719678.38,Low,0.5,1024,1,SUCCESS,49.798942,0.002703,31.530305,0.00263,0.009495,0.020052,18.054021,0.073695,0.010744,0.037295,0.018406,0.00667,,,
22ec8097-3f82-5206-b27a-1716510f8a15,390,1,CASH_IN,228451.89,143236.26,719678.38,Low,0.5,1024,2,SUCCESS,39.154588,0.002428,29.236304,0.003024,0.009436,0.019951,9.70109,0.074389,0.011124,0.037862,0.018872,0.00631,,,
22ec8097-3f82-5206-b27a-1716510f8a15,390,1,CASH_IN,228451.89,143236.26,719678.38,Low,0.5,1024,3,SUCCESS,47.155928,0.002521,29.018509,0.00278,0.009436,0.019931,17.922424,0.07311,0.011201,0.039755,0.016858,0.006241,,,
22ec8097-3f82-5206-b27a-1716510f8a15,390,1,CASH_IN,228451.89,143236.26,719678.38,Low,0.5,1024,4,SUCCESS,34.311816,0.002522,24.610249,0.003337,0.009198,0.021051,9.509523,0.05394,0.009825,0.035792,0.017263,0.005921,,,
22ec8097-3f82-5206-b27a-1716510f8a15,390,1,CASH_IN,228451.89,143236.26,719678.38,Low,0.5,1024,5,SUCCESS,42.973278,0.002821,31.427075,0.003337,0.012143,0.020771,11.326358,0.071719,0.010794,0.037316,0.018777,0.006687,,,
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,Low,0.5,1024,1,SUCCESS,52.545269,0.002938,30.946185,0.002734,0.009248,0.019744,21.377702,0.072553,0.017591,0.036877,0.019763,0.006637,,,
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,Low,0.5,1024,2,SUCCESS,46.593591,0.002225,29.130851,0.002665,0.009935,0.020269,17.23801,0.073499,0.018211,0.038503,0.01937,0.006052,,,
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,Low,0.5,1024,3,SUCCESS,52.705617,0.00264,31.081386,0.002704,0.009488,0.019157,21.406459,0.072937,0.017394,0.035683,0.017412,0.006502,,,
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,Low,0.5,1024,4,SUCCESS,47.250233,0.002289,25.673614,0.002661,0.009516,0.020713,21.355562,0.071709,0.017984,0.037394,0.018577,0.007146,,,
4c47fd72-93b9-5bbe-8da2-5611d12202e7,0,1,PAYMENT,9839.64,170136.0,0.0,Low,0.5,1024,5,SUCCESS,57.33556,0.002342,31.284008,0.002555,0.009245,0.020705,17.30622,0.07377,0.019511,0.036865,8.514724,0.020993,,,
538a51c5-17e0-5514-b8f8-4932adef1d87,2,1,TRANSFER,181.0,181.0,0.0,Low,0.5,1024,1,SUCCESS,70.706518,0.002492,31.802331,0.002693,0.008942,0.020266,38.689223,0.064741,0.01909,0.039462,0.018281,0.006422,,,
538a51c5-17e0-5514-b8f8-4932adef1d87,2,1,TRANSFER,181.0,181.0,0.0,Low,0.5,1024,2,SUCCESS,72.344191,0.002359,29.448048,0.002726,0.009201,0.02043,42.657435,0.06453,0.039672,0.039845,0.019573,0.006161,,,
538a51c5-17e0-5514-b8f8-4932adef1d87,2,1,TRANSFER,181.0,181.0,0.0,Low,0.5,1024,3,SUCCESS,70.239742,0.002238,27.140374,0.002519,0.009459,0.019727,42.888439,0.063402,0.02017,0.035966,0.017994,0.006519,,,
538a51c5-17e0-5514-b8f8-4932adef1d87,2,1,TRANSFER,181.0,181.0,0.0,Low,0.5,1024,4,SUCCESS,68.133567,0.002397,29.216094,0.002969,0.009731,0.019494,38.702231,0.065288,0.01896,0.03819,0.018479,0.00655,,,
538a51c5-17e0-5514-b8f8-4932adef1d87,2,1,TRANSFER,181.0,181.0,0.0,Low,0.5,1024,5,SUCCESS,64.089186,0.002899,24.764315,0.00294,0.01002,0.020647,39.087554,0.061608,0.034628,0.043258,0.019527,0.00632,,,
7cea622d-3b84-505d-9c0d-579d30336375,21,1,DEBIT,9302.79,11299.0,29832.0,Low,0.5,1024,1,SUCCESS,68.556975,0.002293,35.644035,0.00268,0.009152,0.020873,32.675335,0.07342,0.030004,0.038145,0.020302,0.006758,,,
7cea622d-3b84-505d-9c0d-579d30336375,21,1,DEBIT,9302.79,11299.0,29832.0,Low,0.5,1024,2,SUCCESS,66.365366,0.002405,27.05731,0.002844,0.009075,0.020401,39.083722,0.074616,0.017249,0.038087,0.019826,0.006713,,,
7cea622d-3b84-505d-9c0d-579d30336375,21,1,DEBIT,9302.79,11299.0,29832.0,Low,0.5,1024,3,SUCCESS,60.126663,0.002313,29.076762,0.002831,0.009752,0.020988,30.82605,0.073049,0.018152,0.037319,0.019627,0.006397,,,
7cea622d-3b84-505d-9c0d-579d30336375,21,1,DEBIT,9302.79,11299.0,29832.0,Low,0.5,1024,4,SUCCESS,60.184534,0.002396,29.14419,0.002758,0.00892,0.021094,30.759089,0.120591,0.021645,0.041518,0.02056,0.007544,,,
7cea622d-3b84-505d-9c0d-579d30336375,21,1,DEBIT,9302.79,11299.0,29832.0,Low,0.5,1024,5,SUCCESS,68.505183,0.002434,29.030609,0.002971,0.009737,0.019573,39.251614,0.074722,0.017683,0.036718,0.019043,0.006114,,,
84b2de13-d56e-5802-bbea-6a9c126d197a,9,1,DEBIT,5337.77,41720.0,41898.0,Low,0.5,1024,1,SUCCESS,60.230775,0.002402,24.826556,0.002676,0.009053,0.019911,35.153635,0.096079,0.020003,0.039066,0.019871,0.006919,,,
84b2de13-d56e-5802-bbea-6a9c126d197a,9,1,DEBIT,5337.77,41720.0,41898.0,Low,0.5,1024,2,SUCCESS,64.02615,0.002557,31.101216,0.002662,0.009429,0.019763,32.705681,0.073949,0.017244,0.034517,0.018332,0.006348,,,
84b2de13-d56e-5802-bbea-6a9c126d197a,9,1,DEBIT,5337.77,41720.0,41898.0,Low,0.5,1024,3,SUCCESS,66.438795,0.002785,27.031536,0.003117,0.0091,0.020556,39.183742,0.073995,0.017356,0.03674,0.019449,0.006703,,,
84b2de13-d56e-5802-bbea-6a9c126d197a,9,1,DEBIT,5337.77,41720.0,41898.0,Low,0.5,1024,4,SUCCESS,60.119273,0.002423,29.16226,0.002788,0.009349,0.01993,30.739554,0.072372,0.018262,0.035264,0.017169,0.006346,,,
84b2de13-d56e-5802-bbea-6a9c126d197a,9,1,DEBIT,5337.77,41720.0,41898.0,Low,0.5,1024,5,SUCCESS,60.279374,0.002657,29.408114,0.002789,0.009695,0.02061,30.652749,0.073092,0.01742,0.034241,0.018264,0.006478,,,
84bc550d-9bc7-5b80-81d3-906a3d089c2c,3,1,CASH_OUT,181.0,181.0,21182.0,Low,0.5,1024,1,SUCCESS,60.702137,0.002447,31.232201,0.00268,0.009364,0.020051,29.242981,0.078024,0.017133,0.037077,0.020814,0.006438,,,
84bc550d-9bc7-5b80-81d3-906a3d089c2c,3,1,CASH_OUT,181.0,181.0,21182.0,Low,0.5,1024,2,SUCCESS,52.199821,0.002492,24.542893,0.002808,0.009569,0.02051,27.437595,0.072686,0.016999,0.034764,0.018344,0.006983,,,
84bc550d-9bc7-5b80-81d3-906a3d089c2c,3,1,CASH_OUT,181.0,181.0,21182.0,Low,0.5,1024,3,SUCCESS,56.714894,0.002277,35.618332,0.002678,0.009103,0.020839,20.852381,0.094384,0.018042,0.037452,0.017586,0.00705,,,
84bc550d-9bc7-5b80-81d3-906a3d089c2c,3,1,CASH_OUT,181.0,181.0,21182.0,Low,0.5,1024,4,SUCCESS,60.661824,0.002724,29.16149,0.002935,0.009812,0.019756,31.277629,0.073365,0.017334,0.038345,0.018022,0.006708,,,
84bc550d-9bc7-5b80-81d3-906a3d089c2c,3,1,CASH_OUT,181.0,181.0,21182.0,Low,0.5,1024,5,SUCCESS,56.819217,0.002665,29.048667,0.002593,0.009126,0.020396,27.548377,0.073456,0.017434,0.037152,0.017692,0.00658,,,
