cluster,query,rank,openalex_id,doi,title,year,venue,type,cited_by,oa_status,oa_url,abstract
C1_container_perf,container CPU quota throttling performance,1,W4413360410,10.1109/cloud67622.2025.00039,Real-Time Interference-Aware CPU and I/O Capping Mechanism for Multi-Tenant Containers,2025,,conference-paper,0,closed,,"Performance interference in multi-tenant container-ized environments-such as those utilizing Linux Containers (LX C)-poses a critical challenge to maintaining Quality of Service (QoS) and adhering to Service Level Agreements (SLAs), especially under conditions of high resource contention. Con-ventional static resource allocation strategies often fail to adapt to dynamic workload behaviors and lack cross-resource coor-dination, leading to inefficiencies and degraded performance. While machine learning-based approaches, such as Long Short-Term Memory (LSTM) predictors, have demonstrated improved forecasting capabilities, their computational complexity and training requirements introduce latency and overhead, rendering them impractical for real-time control in resource-constrained deployments. In this paper, we introduce a lightweight, real-time interference-aware resource management solution that integrates predictive modeling with fine-grained CPU and I/O capping mechanisms using Linux cgroup subsystems. Our solution lever-ages continuous profiling of key performance metrics, including QoS violation frequency, CPU throttling rates, and I/O contention signals, to identify emerging interference patterns across co-located containers. The solution dynamically adjusts resource quotas and scheduling parameters in response to runtime observations, enabling adaptive capacity provisioning with minimal system overhead. We implement and evaluate our solution on a heterogeneous LXC-based "
C1_container_perf,cgroup CPU bandwidth container,1,W3002972919,10.1109/itme.2019.00151,Docker's Security Analysis of Using Control Group to Enhance Container Resistance to Pressure,2019,,conference-paper,3,closed,,"Docker is a container technology to create lightweight virtual system framework in the cloud computing environment. Massive users exploit it on systems of Linux, Mac, and Windows to simplify configuration or test large-scale operations and isolate applications. However, considering the security of Docker container, Distributed Denial of Service (DDoS) attacks have been a severe problem which needs to be solved. Therefore, this paper aims to analyze the compressive ability of Docker container and reduce the influence of DDoS by using Control group (Cgroup). Furthermore, an experiment will be designed to detect the effects of Cgroup under three kinds of pressure: run out Central Process Unit (CPU), run out bandwidth and DDoS attack. In addition, limiting CPU, limiting Network (Net) I/O and limiting both of them will be considered as the method to use Cgroup to restrict containers' resources. In a result, it is shown that the attacks would be limited in a certain scope after restricting the resources of containers by Cgroup. Therefore, the method of imposing restrictions on CPU and Net I/O resources of Docker containers by using Cgroup can effectively reduce the impact of DDoS attacks."
C1_container_perf,CPU throttling containerized application latency,1,W7164584714,10.1109/jiot.2026.3702943,Edge-VisForeCast: Energy-Efficient Predictive Autoscaling for Containerized Crowd Analytics on Constrained IoT Edge Clusters,2026,IEEE Internet of Things Journal,article,0,closed,,"The default Horizontal Pod Autoscaler (HPA) in Kubernetes is inherently reactive, often taking 15–30 seconds to respond to workload changes on resource-constrained edge devices. In latency-sensitive applications such as real-time crowd analytics, these delays frequently cause thermal throttling and QoS violations during sudden surges in crowd density. To overcome this limitation, we propose Edge-VisForeCast, a proactive autoscaling framework that leverages YOLOv11-detected crowd density as a Granger-causal leading indicator of future resource demand. By integrating these application-level insights with a quantized Informer transformer model enhanced by a Vision-Aware Attention mechanism, the system can forecast power consumption 5–15 seconds ahead. Granger causality tests (p< 0.001) confirm that person count statistically precedes CPU and power saturation by 10–15 seconds. We deployed the proposed system on a 3-node NVIDIA Jetson Orin Nano cluster at the Tunghai University Library, using a real-world dataset of 39.01 million raw frames collected over 14 days. Experimental results show that Edge-VisForeCast achieves 17.8% better forecasting accuracy (MAE) than LSTM baselines, while delivering a 23.7% reduction in inference latency and a 36.3% reduction in energy consumption. Most importantly, the system maintains stable operation within the 15W thermal envelope, effectively avoiding the throttling issues commonly observed with reactive HPA. This work demonstrates the value of "
C1_container_perf,performance interference co-located containers,1,W3026934022,10.1007/s11390-020-9707-y,Interference Analysis of Co-Located Container Workloads: A Perspective from Hardware Performance Counters,2020,Journal of Computer Science and Technology,article,12,closed,,
C1_container_perf,cloud performance variability reproducible benchmarking,1,W2016034479,10.1145/2806777.2806846,Evaluating the impact of fine-scale burstiness on cloud elasticity,2015,,conference-paper,14,closed,,"Elasticity is the defining feature of cloud computing. Performance analysts and adaptive system designers rely on representative benchmarks for evaluating elasticity for cloud applications under realistic reproducible workloads. A key feature of web workloads is burstiness or high variability at fine timescales. In this paper, we explore the innate interaction between fine-scale burstiness and elasticity and quantify the impact from the cloud consumer's perspective. We propose a novel methodology to model workloads with fine-scale burstiness so that they can resemble the empirical stylized facts of the arrival process. Through an experimental case study, we extract insights about the implications of fine-scale burstiness for elasticity penalty and adaptive resource scaling. Our findings demonstrate the detrimental effect of fine-scale burstiness on the elasticity of cloud applications."
C1_container_perf,docker container performance isolation measurement,1,W2532817307,10.1109/aieee.2015.7367280,"KVM, Xen and Docker: A performance analysis for ARM based NFV and cloud computing",2015,,conference-paper,62,closed,,"Virtualization is a mature technology which has shown to provide computing resource and cost optimization while enabling consolidation, isolation and hardware abstraction through the concept of virtual machine. Recently, by sharing the operating system resources and simplifying the deployment of applications, containers are getting a more and more popular alternative to virtualization for specific use cases. As a result, today these two technologies are competing to provide virtual instances for cloud computing, Network Functions Virtualization (NFV), High Performance Computing (HPC), avionic and automotive platforms. In this paper, the performance of the most important open source hypervisor (KVM and Xen) and container (Docker) solutions are compared on the ARM architecture, which is rapidly emerging in the server world. The extensive system and Input/Output (I/O) performance measurements included in this paper show a slightly better performance for containers in CPU bound workloads and request/response networking; conversely, thanks to their caching mechanisms, hypervisors perform better in most disk I/O operations and TCP streaming benchmark."
C1_container_perf,container CPU quota throttling performance,2,W7123695715,10.1145/3772052.3772271,Spatio-Temporal Resource Control for Cloud-Native GPU Provisioning,2025,,conference-paper,0,gold,https://doi.org/10.1145/3772052.3772271,"Modern cloud platforms, such as Kubernetes, provide a service-oriented resource abstraction for explicit Quality of Service (QoS) provisioning, which guarantees resource reservations and supports resource elasticity. In regards to CPU resources, tenants can explicitly specify a guaranteed base demand and an upper bound for resources. Thus, it is desirable that GPU resource provisioning should be analogous to mature cloud-native CPU resource abstraction and can support familiar QoS classes, such as Guaranteed, Burstable, and BestEffort. Although existing research efforts have primarily focused on maximizing GPU utilization by exploiting profiling, capabilities for guaranteed reservation, precise throttling, and elastic bursting are essential to support cloud-native GPU provisioning. It is challenging to provide such features due to the GPU's asynchronous and non-preemptive characteristics. To address this issue, we introduce a spatio-temporal provisioning framework that ensures both resource guarantee and elasticity for GPUs. We define a resource model to control both spatial and temporal dimensions of GPU resources and support familiar QoS classes. Our framework features a per-container Agent for transparent resource accounting and local quota enforcement, and the central Multi-Tenant Arbitrator for global, partition-aware fair scheduling. Performance evaluation demonstrates that our framework can provide accurate GPU resource guarantee and manages dynamic mixed-QoS workloads"
C1_container_perf,cgroup CPU bandwidth container,2,W2945046115,10.1007/978-3-030-19223-5_15,CNTC: A Container Aware Network Traffic Control Framework,2019,Lecture notes in computer science,conference-paper,4,closed,,
C1_container_perf,performance interference co-located containers,2,W3046986616,10.1109/tpds.2020.3013948,Rusty: Runtime Interference-Aware Predictive Monitoring for Modern Multi-Tenant Systems,2020,IEEE Transactions on Parallel and Distributed Systems,article,55,closed,,"Modern micro-service and container-based cloud-native applications have leveraged multi-tenancy as a first class system design concern. The increasing number of co-located services/workloads into server facilities stresses resource availability and system capability in an unconventional and unpredictable manner. To efficiently manage resources in such dynamic environments, run-time observability and forecasting are required to capture workload sensitivities under differing interference effects, according to applied co-location scenarios. While several research efforts have emerged on interference-aware performance modelling, they are usually applied at a very coarse-grained manner e.g., estimating the overall performance degradation of an application, thus failing to effectively quantify, predict or provide educated insights on the impact of continuous runtime interference on per-resource allocations. In this paper, we present Rusty, a predictive monitoring system that leverages the power of Long Short-Term Memory networks to enable fast and accurate runtime forecasting of key performance metrics and resource stresses of cloud-native applications under interference. We evaluate Rusty under a diverse set of interference scenarios for a plethora of representative cloud workloads, showing that Rusty i) achieves extremely high prediction accuracy, average R2value of 0.98, ii) enables very deep prediction horizons retaining high accuracy, e.g., R2of around 0.99 for a horizon of 1 "
C1_container_perf,cloud performance variability reproducible benchmarking,2,W4413184430,10.20944/preprints202508.0654.v1,Benchmarking the Reponsiveness of Open-Source Text-to-Speech Systems,2025,Preprints.org,preprint,1,green,https://www.preprints.org/frontend/manuscript/47c35967474f24fd5b5a6cef5a67bd75/download_pub,"This study addresses a significant gap in voice assistant research by evaluating the responsiveness - the speed at which a TTS system generates speech in reaction to input, crucial for maintaining natural, real-time interactions - of open-source text-to-speech (TTS) models—an often overlooked yet critical component for real-time applications. While extensive benchmarking has been performed on speech-to-text and large language models, little work has focused on how efficiently TTS systems respond in live settings—largely because TTS research has historically prioritized subjective quality metrics like naturalness and intelligibility, which are easier to assess through human listening tests than real-time performance; additionally, the lack of standardized, reproducible tools for measuring latency and responsiveness has further limited progress in this area. This work presents the first comprehensive benchmark focused on responsiveness—assessing TTS latency, tail latency, and real-time processing performance across 13 prominent open-source, readily available models, in contrast to commercial systems like Amazon Polly or Google Cloud TTS, which are closed-source and paywalled. Using a standardized single-stream evaluation inspired by MLPerf Inference, the study measures model responsiveness under controlled conditions and also investigates trade-offs between speed and audio quality. Results reveal substantial variability across models, with some achieving sub-second latency suit"
