type,node_profile,count,mean_ms,median_ms,std_ms,min_ms,max_ms
CASH_IN,High,140,21.29275380714286,21.1656875,0.658065933338798,20.410282,22.964415
CASH_IN,Low,140,34.76933417142857,34.936736999999994,1.9553144458138407,29.753403,40.666392
CASH_IN,Medium,140,27.738715842857143,27.78718,0.9528200192494731,25.45022,30.289252
CASH_OUT,High,140,28.369524007142857,28.014588,1.0874715353262157,27.162584,31.617479
CASH_OUT,Low,140,46.01433431428571,46.274471,1.7723884224541793,41.815232,49.047609
CASH_OUT,Medium,140,36.811177578571424,36.894054,1.1937200186299068,33.821116,41.154508
DEBIT,High,140,32.05632990714286,31.73585,1.2762188223263837,30.563551,35.076845
DEBIT,Low,140,51.640516649999995,51.479947,1.2012680944026009,49.092349,56.865132
DEBIT,Medium,140,40.78552604285714,40.5344615,0.9274207358299253,38.826198,43.133947
PAYMENT,High,140,24.763804207142858,24.6018875,0.8203134073841941,23.817774,28.435418
PAYMENT,Low,140,39.804960564285714,39.836043000000004,1.0092564356109552,34.516154,42.338867
PAYMENT,Medium,140,31.97838236428571,31.6110915,1.162218628174227,29.048641,36.600993
TRANSFER,High,140,35.55521316428572,35.4109605,1.2238207663629692,33.935134,38.111964
TRANSFER,Low,140,57.75403313571429,57.8296985,1.2785948620610488,54.231373,60.375685
TRANSFER,Medium,140,45.663233992857144,45.817268999999996,1.3193853986022865,43.170418,48.718405
