batch,transaction_id,low60_ms,medium75_ms,high100_ms,expected_order_low_gt_medium_gt_high
A,0cfc0319-2ffc-5f74-b250-8430b05f4baa,58.824742,46.257759,36.070166,True
A,22ec8097-3f82-5206-b27a-1716510f8a15,33.934639,27.338948,21.338636,True
A,4c47fd72-93b9-5bbe-8da2-5611d12202e7,40.434969,32.692072,25.491436,True
A,538a51c5-17e0-5514-b8f8-4932adef1d87,59.464881,44.585869,35.873052,True
A,7cea622d-3b84-505d-9c0d-579d30336375,53.032629,41.428684,31.643833,True
A,84b2de13-d56e-5802-bbea-6a9c126d197a,50.47472,41.087868,32.50735,True
A,84bc550d-9bc7-5b80-81d3-906a3d089c2c,45.044441,35.923896,29.063335,True
A,94dc0552-c337-5087-9d12-6ab55c270d00,37.065642,27.286851,21.534295,True
A,dc657fb4-42d9-56de-8897-98d0fef45042,40.43829,32.524704,24.883442,True
A,fd9f804b-556d-5363-a2af-a50d86cf6000,45.526523,39.237239,28.244152,True
B,0cfc0319-2ffc-5f74-b250-8430b05f4baa,58.875935,45.522874,35.997117,True
B,22ec8097-3f82-5206-b27a-1716510f8a15,33.886703,27.836953,21.401945,True
B,4c47fd72-93b9-5bbe-8da2-5611d12202e7,39.185213,33.255231,24.797886,True
B,538a51c5-17e0-5514-b8f8-4932adef1d87,58.834023,43.922429,35.88988,True
B,7cea622d-3b84-505d-9c0d-579d30336375,50.948593,40.396213,32.510643,True
B,84b2de13-d56e-5802-bbea-6a9c126d197a,50.026426,40.359611,32.52223,True
B,84bc550d-9bc7-5b80-81d3-906a3d089c2c,47.320162,36.689472,29.597537,True
B,94dc0552-c337-5087-9d12-6ab55c270d00,36.86316,29.723314,21.793665,True
B,dc657fb4-42d9-56de-8897-98d0fef45042,39.037399,31.088775,25.408029,True
B,fd9f804b-556d-5363-a2af-a50d86cf6000,48.10624,36.380833,29.19618,True
